airport,destination,slug,option,mode,fare_local,currency,fare_usd_mid,approx,time,stops,guide
BUD,Central Budapest,bud-to-central-budapest,Bolt / Uber licensed taxi,ride,€28–€37,EUR,37.09,True,25–40 min,door-to-door,https://www.travelopshq.com/transit/bud-to-central-budapest
CAI,Central Cairo,cai-to-central-cairo,CTA AC bus (356),bus,~25 EGP,EGP,0.5,True,60–90 min,,https://www.travelopshq.com/transit/cai-to-central-cairo
CAI,Central Cairo,cai-to-central-cairo,Uber / Careem,ride,$5–8,USD,6.5,True,25–75 min,door-to-door,https://www.travelopshq.com/transit/cai-to-central-cairo
CAI,Central Cairo,cai-to-central-cairo,Private transfer,car,$15–40,USD,27.5,True,30–60 min,door-to-door,https://www.travelopshq.com/transit/cai-to-central-cairo
CAN,Central Guangzhou,can-to-central-guangzhou,Metro Line 3,rail,¥8,CNY,1.17,False,40–50 min,13 stops,https://www.travelopshq.com/transit/can-to-central-guangzhou
CAN,Central Guangzhou,can-to-central-guangzhou,DiDi (rideshare),ride,¥70–110,CNY,13.22,True,35–60 min,door-to-door,https://www.travelopshq.com/transit/can-to-central-guangzhou
CAN,Central Guangzhou,can-to-central-guangzhou,Metered taxi,taxi,¥100–150,CNY,18.35,True,40–65 min,door-to-door,https://www.travelopshq.com/transit/can-to-central-guangzhou
CDG,Central Paris,cdg-to-central-paris,RER B train,regional,€14,EUR,15.98,False,30–40 min,7–12 stops,https://www.travelopshq.com/transit/cdg-to-central-paris
CDG,Central Paris,cdg-to-central-paris,Bus 350 / 351,bus,€2.05,EUR,2.34,False,60–90 min,,https://www.travelopshq.com/transit/cdg-to-central-paris
CDG,Central Paris,cdg-to-central-paris,Taxi (fixed fare),taxi,€56–€65,EUR,69.05,True,30–60 min,door-to-door,https://www.travelopshq.com/transit/cdg-to-central-paris
CDG,Central Paris,cdg-to-central-paris,Private shuttle,car,€25–€45,EUR,39.95,True,45–90 min,door-to-door,https://www.travelopshq.com/transit/cdg-to-central-paris
CGK,Central Jakarta,cgk-to-central-jakarta,Commuter Line Basoetta,rail,~$4,USD,4.0,True,46–56 min,5 rail stops,https://www.travelopshq.com/transit/cgk-to-central-jakarta
CGK,Central Jakarta,cgk-to-central-jakarta,Grab / Gojek,ride,~$8.50–13,USD,10.75,True,45–120 min,door-to-door,https://www.travelopshq.com/transit/cgk-to-central-jakarta
CGK,Central Jakarta,cgk-to-central-jakarta,Blue Bird taxi,taxi,~$11–17,USD,14.0,True,60–120 min,door-to-door,https://www.travelopshq.com/transit/cgk-to-central-jakarta
CMB,Central Colombo,cmb-to-central-colombo,Train via Katunayake,rail,~$2,USD,2.0,True,90–105 min,~20 stops,https://www.travelopshq.com/transit/cmb-to-central-colombo
CMB,Central Colombo,cmb-to-central-colombo,Expressway Bus 187/E-03,bus,<$1,USD,1.0,True,45–90 min,,https://www.travelopshq.com/transit/cmb-to-central-colombo
CMB,Central Colombo,cmb-to-central-colombo,PickMe / Uber,ride,$12–19,USD,15.5,True,35–75 min,door-to-door,https://www.travelopshq.com/transit/cmb-to-central-colombo
CMB,Central Colombo,cmb-to-central-colombo,Airport Taxi Counter,taxi,$16–24,USD,20.0,True,35–85 min,door-to-door,https://www.travelopshq.com/transit/cmb-to-central-colombo
CPH,Central Copenhagen,cph-to-central-copenhagen,Metro M2,rail,30 DKK,DKK,4.59,False,14–15 min,8 stops,https://www.travelopshq.com/transit/cph-to-central-copenhagen
CPH,Central Copenhagen,cph-to-central-copenhagen,DSB / Øresund Train,regional,30 DKK,DKK,4.59,False,13–15 min,~3 stops,https://www.travelopshq.com/transit/cph-to-central-copenhagen
CPH,Central Copenhagen,cph-to-central-copenhagen,Taxi / Uber / Bolt,taxi,€34–47,EUR,46.23,True,20–30 min,door-to-door,https://www.travelopshq.com/transit/cph-to-central-copenhagen
DEL,Central Delhi,del-to-central-delhi,Airport Express Metro,rail,₹64,INR,0.67,False,35–50 min,4 stops,https://www.travelopshq.com/transit/del-to-central-delhi
DEL,Central Delhi,del-to-central-delhi,Uber / Ola (off-peak),ride,₹400–600,INR,5.23,True,30–50 min,door-to-door,https://www.travelopshq.com/transit/del-to-central-delhi
DEL,Central Delhi,del-to-central-delhi,Police Prepaid Taxi,taxi,₹470–650,INR,5.86,True,35–60 min,door-to-door,https://www.travelopshq.com/transit/del-to-central-delhi
DEL,Central Delhi,del-to-central-delhi,DTC Bus,bus,₹25–100,INR,0.65,True,60–90 min,,https://www.travelopshq.com/transit/del-to-central-delhi
DEN,Downtown Denver,den-to-downtown-denver,RTD A Line,rail,$10,USD,10.0,False,37 min,7 stops,https://www.travelopshq.com/transit/den-to-downtown-denver
DEN,Downtown Denver,den-to-downtown-denver,Uber / Lyft,ride,$35–55,USD,45.0,True,30–55 min,door-to-door,https://www.travelopshq.com/transit/den-to-downtown-denver
